city,house,numOfBathroom,numOfBedroom,numOfReview,owner,price,review,sleep,state,title,url
Coarsegold,Villa,3 Bathrooms,3,1,Olga Mandler,220,5,12,CA,Beautiful Villa with Treetop views south of Yosemite,https://www.vrbo.com/1393463
Kihei,House,"2 Bathrooms, 1 Half Bath",2,3,Evolve Vacation Rental Network,291,4.7,6,HI,NEW Private Kihei Home 5 Mins from Keawakapu Beach,https://www.vrbo.com/7168832ha
Ulster Park,House,"1 Bathroom, 1 Half Bath",1,4,Owner,447,5,6,NY,A one night minimum stay is a perfect winter get away from NYC,https://www.vrbo.com/7179204ha
Moneta,House,"5 Bathrooms, 1 Half Bath",5,7,Sean,415,4.4,16,VA,Beautiful New Lakefront Retreat w Huge Decks Deep Open Water in Best Location,https://www.vrbo.com/1362108
Seaside,House,3 Bathrooms,3,3,Vacasa,400,5,10,OR,Family friendly house with ocean view close to beach golf,https://www.vrbo.com/1423360
Sevierville,Lodge,3 Bathrooms,3,4,Mike Brawner,408,3.8,14,TN,Luxurious Cedar Bear Lodge newly listed on VRBO GREAT LOCATION,https://www.vrbo.com/1394012
Oakland,Apartment,1 Bathroom,1,0,William Magid,408,0,20,CA,Great 1br Apt Near Lake Merritt BART SF,https://www.vrbo.com/7501444ha
Lahaina,Condo,2 Bathrooms,2,5,Jan Hunter,223,5,6,HI,Mahana 501 2bed 2bath Direct Oceanfront New Listing Gem on the Westside,https://www.vrbo.com/1429421
Rio Rancho,Apartment,2 Bathrooms,2,0,Haley Ford-wyant,406,0,6,NM,Luxury Retreat with Pool,https://www.vrbo.com/7505993ha
Corpus Christi,House,3 Bathrooms,3,4,Owner,212,5,12,TX,Extraordinary Luxury Gorgeous Brand New Home,https://www.vrbo.com/1377051
Newport,House,2 Bathrooms,2,12,Kathleen ,460,4.8,6,RI,Charming home close to everything Newport has to offer and pets are welcome,https://www.vrbo.com/162709ha
